TRABAJADOR;REGIONAL;VICEPRESIDENCIA;GERENCIA;FECHA INGRESO;FECHA RETIRO;Año Unificado;EDAD;Rangos Edad;RELACION LABORAL;Rotacion;MOTIVO RETIRO;GENERO;NIVEL DE CARGO;CARGO;ACCESO CREDITO;SGD(1/100);SDG DESCRIPCION;CARGA PRESTACIONAL;;;;;
202091204;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;20/09/2021;25/01/2022;2022 12:00:00;27;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;85;BUENO; $ 45.632.000 ;;;;;
202092205;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;VENTAS BANCA AGROPECUARIA               ;5/08/2015;31/01/2022;2022 12:00:00;28;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;1;91;BUENO; $ 45.632.000 ;;;;;
202093206;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;10/11/2021;16/02/2022;2022 12:00:00;32;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;1;87;BUENO; $ 45.632.000 ;;;;;
202094207;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;8/09/2021;18/02/2022;2022 12:00:00;29;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;75;REGULAR; $ 45.632.000 ;;;;;
202095208;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;17/12/2018;7/03/2022;2022 12:00:00;28;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;86;BUENO; $ 45.632.000 ;;;;;
202096209;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;6/01/2015;11/03/2022;2022 12:00:00;29;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;72;REGULAR; $ 45.632.000 ;;;;;
202097210;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;15/03/2017;13/03/2022;2022 12:00:00;32;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;98;EXCELENTE; $ 45.632.000 ;;;;;
202098211;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;1/06/2015;31/03/2022;2022 12:00:00;33;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;1;87;BUENO; $ 45.632.000 ;;;;;
202099212;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;20/09/2019;31/03/2022;2022 12:00:00;27;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;79;REGULAR; $ 45.632.000 ;;;;;
202100213;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;5/05/2021;20/04/2022;2022 12:00:00;30;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;81;REGULAR; $ 45.632.000 ;;;;;
202101214;2. BOGOTA;VP BANCA AGROPECUARIA                   ;VICEPRESIDENCIA DE BANCA AGROPECUARIA   ;6/12/2019;3/01/2020;2020 12:00:00;23;Entre 20 y 24 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;72;REGULAR; $ 45.632.000 ;;;;;
202102215;2. BOGOTA;VP BANCA AGROPECUARIA                   ;VICEPRESIDENCIA DE BANCA AGROPECUARIA   ;16/10/2018;23/01/2020;2020 12:00:00;32;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;0;80;REGULAR; $ 45.632.000 ;;;;;
202103216;2. BOGOTA;VP BANCA AGROPECUARIA                   ;VICEPRESIDENCIA DE BANCA AGROPECUARIA   ;16/10/2018;30/01/2020;2020 12:00:00;35;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;1;85;BUENO; $ 45.632.000 ;;;;;
202104217;2. BOGOTA;VP BANCA AGROPECUARIA                   ;VICEPRESIDENCIA DE BANCA AGROPECUARIA   ;25/10/2019;31/01/2020;2020 12:00:00;43;Entre 36 y 45 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;98;EXCELENTE; $ 45.632.000 ;;;;;
202105218;2. BOGOTA;VP BANCA AGROPECUARIA                   ;VICEPRESIDENCIA DE BANCA AGROPECUARIA   ;16/07/2018;3/02/2020;2020 12:00:00;35;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;1;93;BUENO; $ 45.632.000 ;;;;;
202106219;2. BOGOTA;VP BANCA AGROPECUARIA                   ;VICEPRESIDENCIA DE BANCA AGROPECUARIA   ;6/07/2015;10/02/2020;2020 12:00:00;25;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;74;REGULAR; $ 45.632.000 ;;;;;
202107220;2. BOGOTA;VP BANCA AGROPECUARIA                   ;VICEPRESIDENCIA DE BANCA AGROPECUARIA   ;26/01/2018;13/02/2020;2020 12:00:00;24;Entre 20 y 24 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;74;REGULAR; $ 45.632.000 ;;;;;
202108221;2. BOGOTA;VP BANCA AGROPECUARIA                   ;VICEPRESIDENCIA DE BANCA AGROPECUARIA   ;16/09/2019;28/02/2020;2020 12:00:00;38;Entre 36 y 45 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;72;REGULAR; $ 45.632.000 ;;;;;
202109222;2. BOGOTA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;16/08/2011;30/07/2020;2020 12:00:00;57; => 56 años;0;Involuntaria;Ret. Ser. Oficial para Pension          ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;88;BUENO; $ 45.632.000 ;;;;;
202110223;2. BOGOTA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;7/11/2017;10/08/2020;2020 12:00:00;31;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;97;EXCELENTE; $ 45.632.000 ;;;;;
